time,ax,ay,az,atotal
259.3691580295563,4.34,2.86,3.19,6.09
259.3838129043579,0.32,14.72,-7.83,16.67
259.4017901420593,-2.08,-0.9,-5.11,5.59
259.40324115753174,-5.04,-9.22,17.89,20.74
259.4195499420166,2.59,-2.42,-10.23,10.82
259.42073702812195,4.22,4.26,12.83,14.16
259.4351282119751,-3.78,2.33,-2.69,5.19
259.4530429840088,-8.68,17.58,-6.44,20.63
259.4544041156769,-2.06,-6.7,-4.91,8.55
259.4679789543152,3.62,-6.97,-8.97,11.92
259.46902894973755,0.7,2.84,16.96,17.21
259.4869110584259,-5.27,-6.84,3.89,9.47
259.5047290325165,-5.31,-2.66,6.25,8.62
259.5060760974884,-0.58,6.11,0.08,6.13
259.5182819366455,2.65,12.19,-15.44,19.84
259.51938700675964,0.31,0.28,-14.14,14.14
259.53417921066284,-2.47,-6.4,12.75,14.47
259.5519950389862,1.25,-5.21,6.25,8.23
259.5534451007843,1.44,-5.39,-9.87,11.33
259.56841707229614,-0.18,-2.49,24.19,24.31
259.569473028183,3.24,-8.73,0.0,9.31
259.5843629837036,2.38,-2.45,-2.79,4.41
259.60258507728577,-8.25,10.56,2.54,13.63
259.60395312309265,-7.44,4.93,-0.23,8.92
259.6191120147705,5.25,0.78,-10.36,11.64
259.62010622024536,5.25,6.2,-18.25,19.97
259.6381540298462,0.31,-9.6,-9.44,13.46
259.6565771102905,-0.47,-12.91,17.51,21.75
259.65797090530396,4.34,3.34,3.98,6.76
259.66850090026855,4.67,-3.57,-5.59,8.11
259.66954612731934,-4.57,9.85,2.85,11.22
259.6844849586487,-3.25,8.04,-9.11,12.57
259.7024612426758,3.18,-7.88,-2.14,8.76
259.7037990093231,3.2,6.09,-6.77,9.65
259.71899223327637,-4.79,0.43,10.26,11.33
259.7200541496277,-3.94,-5.09,15.63,16.9
259.73495292663574,1.15,3.98,8.46,9.41
259.7527651786804,5.14,-5.32,-6.58,9.9
259.75412702560425,4.08,-7.45,-0.57,8.51
259.76887011528015,0.21,-0.63,-0.44,0.79
259.7699761390686,-2.99,11.47,-17.5,21.13
259.78459119796753,-3.66,-4.18,-2.75,6.19
259.80242800712585,-1.81,-12.55,-0.83,12.7
259.80377411842346,3.98,1.39,1.74,4.56
259.8188190460205,2.91,-4.11,17.51,18.21
259.8199670314789,3.0,1.72,19.95,20.24
259.834557056427,2.81,2.37,-4.69,5.95
259.8524010181427,0.42,6.73,-5.61,8.77
259.8537690639496,-1.96,0.41,-12.9,13.05
259.8685610294342,-0.46,-7.82,-4.53,9.04
259.8696131706238,2.86,-4.38,3.55,6.32
259.88470005989075,2.75,0.01,22.27,22.43
259.9026379585266,-0.88,6.89,-2.44,7.36
259.90396213531494,2.19,4.33,14.91,15.67
259.91751408576965,1.28,-0.24,-26.28,26.31
259.9187841415405,-1.27,2.32,-13.5,13.75
259.93399810791016,0.4,8.02,-2.18,8.32
259.95197200775146,-0.95,-0.17,-24.8,24.81
259.9533839225769,-7.47,-5.77,-17.85,20.19
259.9690179824829,-3.78,-12.04,52.79,54.27
259.970242023468,11.01,4.07,17.0,20.65
259.9843900203705,9.05,7.31,-20.57,23.63
260.0018560886383,-19.5,2.18,-39.21,43.84
260.00321912765503,-9.57,-3.75,39.63,40.94
260.01798391342163,4.57,-7.62,-35.28,36.38
260.019079208374,6.87,9.8,-26.72,29.27
260.03520822525024,10.0,-9.36,33.03,35.75
260.0538110733032,-4.62,-11.23,13.5,18.15
260.0551972389221,-12.93,11.85,-15.78,23.59
260.0686960220337,1.47,8.37,8.34,11.9
260.06973791122437,-2.11,-6.87,-11.2,13.3
260.0838611125946,7.48,7.12,-11.79,15.67
260.1017951965332,-3.92,3.9,-23.68,24.31
260.1031460762024,-0.62,-14.34,19.14,23.92
260.11862421035767,5.48,-3.75,16.76,18.02
260.1196610927582,8.66,-5.16,4.35,10.97
260.13428711891174,-6.23,-0.39,12.87,14.3
260.1527318954468,-8.19,3.06,-4.23,9.71
260.1541061401367,3.7,-3.53,11.49,12.57
260.1681480407715,9.04,5.82,-19.18,21.98
260.16944909095764,-2.89,8.52,-2.43,9.31
260.1846330165863,-3.9,-2.61,2.53,5.33
260.2022490501404,4.07,-3.01,1.68,5.33
260.2034640312195,4.15,1.06,-2.51,4.96
260.2186379432678,-4.73,6.19,-4.58,9.03
260.2197051048279,-1.73,2.69,-7.93,8.55
260.23521518707275,6.69,-8.71,-8.78,14.06
260.25298404693604,3.85,9.75,-21.91,24.28
260.2543411254883,-3.9,-4.35,5.21,7.82
260.2684760093689,5.26,-27.93,41.74,50.49
